Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
4006,04,Carchi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,1,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,05,Cotopaxi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,15,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,06,Chimborazo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,14,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,07,El Oro,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,23,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,08,Esmeraldas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,27,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,09,Guayas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,94,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,10,Imbabura,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,12,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,11,Loja,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,12,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,12,Los Ríos,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,15,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,13,Manabí,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,46,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,14,Morona Santiago,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,14,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,15,Napo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,5,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,16,Pastaza,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,5,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,17,Pichincha,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,57,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,18,Tungurahua,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,15,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,3,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,20,Galápagos,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,2,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,21,Sucumbios,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,13,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,22,Orellana,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,5,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,23,Santo Domingo de los Tsáchilas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,11,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,24,Santa Elena,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,6,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,9,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,00,Total Nacional,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,474,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,01,Azuay,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,25,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,02,Bolívar,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,3,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,03,Cañar,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,7,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,04,Carchi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,1,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,05,Cotopaxi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,11,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,06,Chimborazo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,10,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,07,El Oro,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,30,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,08,Esmeraldas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,17,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,09,Guayas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,97,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,10,Imbabura,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,16,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,11,Loja,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,15,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,12,Los Ríos,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,14,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,13,Manabí,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,43,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,14,Morona Santiago,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,16,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,15,Napo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,5,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,16,Pastaza,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,7,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,17,Pichincha,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,73,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,18,Tungurahua,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,10,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,7,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,20,Galápagos,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,2,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,21,Sucumbios,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,24,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,22,Orellana,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,9,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,23,Santo Domingo de los Tsáchilas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,23,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,24,Santa Elena,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,9,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,8,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,00,Total Nacional,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,448,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,01,Azuay,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,26,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,02,Bolívar,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,1,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,03,Cañar,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,9,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,04,Carchi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,3,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,05,Cotopaxi,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,6,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,06,Chimborazo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,16,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,07,El Oro,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,23,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,08,Esmeraldas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,24,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,09,Guayas,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,99,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,10,Imbabura,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,17,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,11,Loja,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,10,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,12,Los Ríos,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,15,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,13,Manabí,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,25,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,14,Morona Santiago,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,13,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,15,Napo,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,8,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,16,Pastaza,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,4,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
4006,17,Pichincha,0000,Total Nacional,Ecuador,Seguridad interna,Seguridad ciudadana,Denuncias de violaciones,Total,Total,77,No Aplica,"Es el acceso carnal, con introducción total o parcial del miembro viril, por vía oral, anal o vaginal; o la introducción, por vía vaginal o anal, de objetos, dedos u órganos distintos al miembro viril, a una persona de cualquier sexo.",2018,7,Fiscalía General del Estado - INEC,Denuncias,Paz,ODS 16
